Response ID,Date,Region,Product,Satisfaction Score,NPS Rating,Feedback
192,2024-01-01,Asia,Product A,1,4,Product quality was poor.
159,2024-01-01,North America,Product B,3,4,Would recommend to friends.
285,2024-01-01,Asia,Product B,4,1,Great value for the price.
53,2024-01-01,North America,Product B,1,9,Excellent service and fast delivery.
249,2024-01-01,Asia,Product B,5,9,Excellent service and fast delivery.
245,2024-01-01,Asia,Product A,5,3,Delivery was delayed.
280,2024-01-01,North America,Product B,4,7,Difficult to navigate the website.
173,2024-01-01,North America,Product A,3,3,Difficult to navigate the website.
143,2024-01-01,Europe,Product C,4,7,Excellent service and fast delivery.
69,2024-01-01,Asia,Product C,4,7,Amazing customer service!
36,2024-01-01,North America,Product A,3,0,Product quality was poor.
239,2024-01-01,Europe,Product C,3,0,Delivery was delayed.
196,2024-01-01,Asia,Product C,3,3,Would recommend to friends.
201,2024-01-01,North America,Product B,1,5,Great value for the price.
24,2024-01-01,Europe,Product A,3,10,Product quality was poor.
18,2024-01-01,North America,Product B,4,8,Amazing customer service!
252,2024-01-01,Asia,Product B,1,5,Product quality was poor.
17,2024-01-01,North America,Product C,3,7,Product didn't match the description.
3,2024-01-01,Asia,Product B,4,1,Difficult to navigate the website.
107,2024-01-01,Asia,Product B,2,9,Would recommend to friends.
109,2024-01-01,Europe,Product B,2,3,Difficult to navigate the website.
272,2024-02-01,Europe,Product B,4,2,Product quality was poor.
144,2024-02-01,North America,Product A,1,4,Support team was unhelpful.
271,2024-02-01,Asia,Product A,5,0,Difficult to navigate the website.
45,2024-02-01,Asia,Product C,3,8,Product quality was poor.
46,2024-02-01,Europe,Product A,2,6,Product quality was poor.
48,2024-02-01,Asia,Product B,1,10,Would recommend to friends.
180,2024-02-01,Europe,Product A,3,3,Would recommend to friends.
162,2024-02-01,Asia,Product B,2,7,Would recommend to friends.
234,2024-02-01,North America,Product C,1,10,Difficult to navigate the website.
284,2024-02-01,Europe,Product B,4,9,Very satisfied with the experience.
2,2024-02-01,Europe,Product B,4,2,Difficult to navigate the website.
57,2024-02-01,Asia,Product A,4,3,Great value for the price.
251,2024-02-01,North America,Product A,2,3,Delivery was delayed.
59,2024-02-01,Europe,Product A,1,9,Would recommend to friends.
90,2024-02-01,Europe,Product A,5,9,Excellent service and fast delivery.
246,2024-02-01,North America,Product B,2,1,Difficult to navigate the website.
168,2024-02-01,Europe,Product B,1,6,Product quality was poor.
10,2024-02-01,North America,Product A,2,1,Very satisfied with the experience.
19,2024-02-01,Europe,Product A,5,0,Delivery was delayed.
208,2024-02-01,Europe,Product A,3,10,Amazing customer service!
237,2024-02-01,Europe,Product B,3,10,Difficult to navigate the website.
205,2024-02-01,North America,Product C,1,9,Product quality was poor.
204,2024-02-01,Europe,Product C,4,6,Very satisfied with the experience.
75,2024-02-01,North America,Product B,5,7,Great value for the price.
14,2024-02-01,Europe,Product C,4,6,Amazing customer service!
68,2024-02-01,Europe,Product C,3,0,Product didn't match the description.
197,2024-02-01,North America,Product A,3,8,Amazing customer service!
254,2024-02-01,Asia,Product C,4,9,Product didn't match the description.
113,2024-02-01,North America,Product B,1,4,Delivery was delayed.
151,2024-02-01,Asia,Product C,4,10,Support team was unhelpful.
73,2024-02-01,Europe,Product A,4,2,Support team was unhelpful.
289,2024-02-01,Asia,Product C,2,9,Would recommend to friends.
142,2024-02-01,Europe,Product B,3,4,Delivery was delayed.
97,2024-03-01,Asia,Product A,3,6,Very satisfied with the experience.
124,2024-03-01,Asia,Product B,1,7,Delivery was delayed.
147,2024-03-01,North America,Product C,4,7,Excellent service and fast delivery.
139,2024-03-01,North America,Product B,3,8,Product didn't match the description.
145,2024-03-01,North America,Product B,4,5,Would recommend to friends.
81,2024-03-01,Europe,Product C,1,4,Support team was unhelpful.
126,2024-03-01,Europe,Product C,3,9,Would recommend to friends.
262,2024-03-01,North America,Product B,5,1,Difficult to navigate the website.
93,2024-03-01,North America,Product B,4,4,Delivery was delayed.
8,2024-03-01,North America,Product B,2,6,Very satisfied with the experience.
297,2024-03-01,Europe,Product C,4,0,Amazing customer service!
215,2024-03-01,Europe,Product C,5,5,Product quality was poor.
295,2024-03-01,Europe,Product A,1,10,Great value for the price.
211,2024-03-01,North America,Product C,4,9,Great value for the price.
189,2024-03-01,Europe,Product C,3,2,Great value for the price.
187,2024-03-01,North America,Product A,4,6,Product didn't match the description.
210,2024-03-01,North America,Product A,4,7,Support team was unhelpful.
37,2024-03-01,Asia,Product C,5,5,Great value for the price.
171,2024-03-01,Europe,Product B,5,1,Would recommend to friends.
42,2024-03-01,Europe,Product A,2,6,Very satisfied with the experience.
178,2024-03-01,Asia,Product A,1,5,Product didn't match the description.
138,2024-04-01,Europe,Product B,2,8,Delivery was delayed.
224,2024-04-01,Asia,Product A,2,8,Difficult to navigate the website.
104,2024-04-01,Europe,Product A,2,7,Product quality was poor.
220,2024-04-01,Europe,Product A,1,5,Product didn't match the description.
235,2024-04-01,Asia,Product B,2,3,Product quality was poor.
